SOC_gkg,latitude,longitude,elevation,slope,landcover,rainfall,lst,ndvi,twi,smi,soil_ph,soil_texture
7.549380713,-10.84733632,-49.38214148,205,0.928244,10,19251.76547,31.14090266,0.59188753,19.04372809,0.853582476,5.2,6
7.551021905,-7.7847599,-48.07788112,232,0.38356546,10,19830.63914,27.62461459,0.44304338,15.81986472,0.827499873,5.2,6
7.563481518,-6.074607484,-47.95842616,255,0.7468808,10,19617.9011,32.0022437,0.33838502,14.43357036,0.859971604,4.9,6
7.590044965,-6.85286498,-48.14107649,300,1.9469172,10,19420.47228,30.84866195,0.33897725,14.65671391,0.851414736,4.9,6
7.596699479,-6.565870811,-48.05372385,214,1.4337633,10,19170.10116,27.86985752,0.4118004,16.60262406,0.829319,5.4,6
7.615645422,-9.232839793,-49.81716706,183,0.1971532,10,19917.63204,35.18442032,0.43751517,14.65671391,0.883575884,5.1,6
7.641050436,-7.925182757,-47.20445435,253,1.9105768,10,18735.13855,27.73587114,0.4602021,14.83903547,0.828325136,5.4,6
7.667408996,-12.14897633,-48.32302874,311,1.1618971,10,17479.54764,32.01591578,0.4621082,16.44847338,0.860073019,5.4,6
7.6826699,-10.95268912,-50.22967629,196,0.124251485,10,18934.33721,31.33459046,0.508215,14.83903547,0.855019184,5.1,6
7.69912938,-11.89943528,-46.54292772,610,0.66304255,10,15765.05809,28.62182192,0.5533666,14.99318615,0.834896811,5.5,4
7.729944383,-7.158445361,-48.23170142,217,0.35896024,10,19648.09195,27.64939523,0.38019085,16.18277021,0.827683687,5.2,6
7.730703851,-10.21377326,-49.55244284,199,0.77143544,10,20066.71321,31.29984059,0.6016178,17.32394212,0.854761422,5.1,6
7.767663928,-10.8404944,-49.60983587,186,0.0551513,10,19300.48594,31.22840397,0.49016914,15.53218265,0.85423153,5.4,6
7.787370525,-12.11212423,-49.9931968,201,0.11055661,10,17049.49104,30.95291156,0.5337704,19.42400294,0.852188023,5.2,6
7.80974676,-9.370830043,-48.62123384,291,1.3005176,10,19807.13963,32.98962423,0.44179234,14.83903547,0.867295649,5.3,6
7.820328511,-6.179424934,-47.42673018,137,0.36517608,10,18342.77055,36.57897248,0.36334988,25.10996314,0.893920187,4.9,6
7.825506923,-10.66416307,-49.24706674,262,1.5165943,10,19208.97413,34.5828488,0.4636067,14.99318615,0.879113635,5.2,6
7.826651869,-10.54139183,-49.42324898,227,0.31289208,10,19407.27306,29.26611869,0.5748945,14.43357036,0.83967598,5.1,6
7.840241495,-12.95517681,-48.70757569,459,0.8305134,10,17280.4338,30.4299545,0.5983826,18.1035218,0.848308909,5.6,6
7.846929292,-12.53594938,-48.25187343,273,0.7480157,10,16409.59684,29.69849822,0.40396023,23.73603402,0.842883221,5.6,6
7.850611887,-10.44635955,-49.47427164,191,0.03864545,10,19439.18452,32.6687576,0.5174618,14.83903547,0.864915572,5.2,6
