longitude,latitude,elevation,slope,rainfall,lst,ndvi,twi,smi,rf_predictions,,svr_predictions,gbr_predictions,dtr_predictions
-49.6609717,-12.36961877,236,0.81599194,17281.80889,32.05932463,0.47750252,16.9390963,0.86039501,8.399694444,,8.245442649,7.389770366,6.520275635
-48.35692014,-6.955909317,223,1.0341183,19997.45908,31.97233603,0.5007421,14.43357036,0.859749759,8.400719922,,8.245442649,7.389770366,6.520275635
-46.66739803,-11.88744432,620,0.95011204,16199.82099,31.56131912,0.53812855,14.83903547,0.856700979,8.4039991,,8.245442649,7.394497734,6.520275635
-50.25289432,-9.890285376,174,0.1961453,19590.2117,32.0364239,0.5425404,24.8793604,0.860225141,8.415780975,,8.245442649,7.320468499,6.520275635
-48.60463898,-9.5917299,291,1.0831925,19508.53666,34.23762878,0.4999739,15.93764775,0.876552913,8.398377837,,8.245442649,7.389770366,6.520275635
-48.71038911,-10.6517362,324,0.55185705,17900.99484,30.05511164,0.51636076,15.44517127,0.845528455,8.399854899,,8.245442649,7.389770366,6.520275635
-49.78221577,-9.744529682,204,0.19322655,20509.69959,38.79726746,0.3601016,15.24450057,0.910374727,8.408598376,,8.245442649,6.881179357,6.520275635
-48.61320191,-11.15598182,235,0.42509222,18067.33402,31.40238119,0.5652204,15.53218265,0.855522032,8.407246355,,8.245442649,7.340048006,6.520275635
-47.96507887,-13.04786842,808,2.500918,15370.76717,30.40688287,0.43779537,15.68633333,0.848137772,8.393905903,,8.245442649,7.281108846,6.520275635
-46.4595104,-12.08744801,517,0.6602689,16989.43132,35.68772376,0.36182332,16.37948051,0.887309214,8.396509844,,8.245442649,6.952779502,6.520275635
-48.2914734,-11.69375989,279,0.3917069,17450.47455,35.79453689,0.29933622,16.41457183,0.888101516,8.404613019,,8.245442649,7.28077808,6.520275635
-48.71836674,-12.98108321,354,3.7781703,17280.4338,32.35942679,0.601787,19.1893134,0.862621064,8.366976909,,8.245442649,7.28968243,6.520275635
-48.44604541,-9.957042589,334,3.1044884,18209.84956,36.28160474,0.40106955,14.83903547,0.891714416,8.392110118,,8.245442649,7.281563347,6.520275635
-47.9376136,-7.505416845,228,0.16063441,19343.44121,24.48943574,0.35420844,15.93764775,0.804244207,8.410540761,,8.245442649,7.044770951,6.520275635
-49.96090412,-11.00524391,184,0.244876,18942.66523,31.99882568,0.476388,19.78186766,0.85994625,8.405722318,,8.245442649,7.334811168,6.520275635
-48.00610318,-7.260028478,285,0.47007698,19110.06206,24.3116987,0.47089252,15.93764775,0.802925815,8.400220513,,8.245442649,7.358414954,6.520275635
-48.20463599,-6.390721728,178,0.27411804,19673.97209,30.4299545,0.4061902,15.12671754,0.848308909,8.405535965,,8.245442649,7.334811168,6.520275635
